Features_ 1,Features_ 2,Features_ 3,Features_ 4,Features_ 5,Features_ 6,Features_ 7,Features_ 8,Features_ 9,Features_10,Features_11,Features_12,Features_13,Features_14,Features_15,Features_16,labels
87.83199,87.23449,88.01434,121.8253,13.72916,72.29045,6.594716,0.0004991716,0.0004991716,13.73667,0.2992767,0.1235076,0.0758566,-0.1283652,-0.05441935,-0.0397074,AAA
87.01908,83.99508,85.7324,132.165,0,43.05254,0,0.0006221106,0.0006221106,11.01284,0.280513,0.007691138,-0.01742409,0.0006871583,-0.0002097616,6.864324e-06,AAA
76.03271,76.34389,73.25966,126.4856,29.99594,87.42743,3.99191,-0.001325711,-0.001325711,7.646356,0.1876996,0.02680242,-0.007704817,-0.01409724,-0.002726155,-0.0009885255,AAA
72.65466,68.37956,70.19019,126.5344,0,42.83759,0,-0.004263664,-0.004263664,10.46084,0.2787812,0.01668895,0.02455604,-0.02762718,0.0004917065,-0.0002819884,AAA
98.03009,96.57837,95.92445,48.42931,0,43.72857,0,0,0,11.16392,0.1763442,0.003826228,-0.0003621224,-0.0005837796,-2.17131e-05,3.036173e-05,one_pound
79.73588,83.99668,78.12569,49.13025,0,46.60856,0,0,0,2.291292,0.1673513,0.0007106857,8.539451e-06,6.206091e-05,-4.914228e-07,2.728e-06,one_pound
122.0288,128.3802,125.7208,58.7265,12.79059,53.39438,5.432078,-4.749438e-05,-4.749438e-05,44.94369,0.2005051,0.01036673,0.001143687,0.000549929,-0.0001457226,-0.000139691,two_pound
110.7009,115.1027,117.7305,83.56353,42.18308,57.59258,37.59285,0,0,67.135,0.3070861,0.2521202,0.005808971,-0.07182395,-0.001629964,-0.05652443,two_pound
135.8304,146.3819,138.0544,62.3843,0,61.63755,0,0.0002373095,0.0002373095,36.59125,0.1650964,0.0004262706,-7.855138e-06,-3.188086e-06,-1.279868e-07,-1.930383e-07,two_pound
120.4551,127.0886,137.9622,38.43647,0,35.88352,0,1.662757e-05,1.662757e-05,8.305142,0.1598351,0.0002110591,-4.981739e-06,-2.262943e-05,3.650221e-07,1.383447e-07,five_pence
122.0612,127.1529,137.9623,37.98238,0,34.09937,0,0,0,7.380626,0.1650512,0.000646679,0.0001092876,3.508122e-05,4.637469e-06,2.702834e-06,five_pence
102.2231,112.6979,116.2176,60.38377,0,55.98277,0,-0.0005317766,-0.0005317766,56.40861,0.1872412,0.0014036,7.567775e-05,-0.0001836008,-6.916826e-06,2.267646e-06,fifty_pence
95.69377,98.65571,104.8778,58.44785,0,52.91813,0,-0.0004585099,-0.0004585099,25.05165,0.1807889,0.02643087,0.0007152949,0.004681326,0.0001899473,0.001018377,fifty_pence
92.17103,97.04523,102.8138,56.29629,0,52.81651,0,0.003486047,0.003486047,26.41989,0.1726164,0.00476903,-0.0005247452,5.323155e-06,-6.416521e-05,3.421694e-05,fifty_pence
98.10679,105.3518,110.0751,60.23937,11.71827,53.15754,7.551746,-0.0008100975,-0.0008100975,62.2857,0.2086777,0.05263468,0.00773794,-0.01839851,0.00357087,-0.007376819,fifty_pence
116.5527,130.5745,140.9828,54.47022,0,52.27003,0,0.0002884474,0.0002884474,5.591213,0.1759373,0.00135924,6.567894e-05,-7.352803e-05,-1.594955e-06,-8.333596e-06,washer_sml_hole
147.6306,156.5467,158.1149,53.25069,0,53.03297,0,-0.0006640616,-0.0006640616,5.371134,0.1651937,3.584786e-05,2.21915e-07,-9.833728e-08,3.852865e-09,-2.98101e-09,washer_sml_hole
105.638,110.1653,122.1113,53.03174,0,50.65728,0,0.002035771,0.002035771,21.93105,0.2131945,0.06098732,0.0002940124,0.005947517,0.001819847,-0.001905644,washer_sml_hole
136.6029,152.9209,158.6661,54.15892,0,53.09756,0,0.003154404,0.003154404,3.187691,0.1667435,9.922226e-05,-3.079919e-06,1.115053e-06,-5.392354e-08,6.766686e-08,washer_sml_hole
129.6111,141.1055,146.5334,54.84522,0,53.75917,0,-1.398085e-05,-1.398085e-05,8.585907,0.169204,0.0002601943,7.699475e-06,4.278442e-06,1.723269e-07,9.029536e-08,washer_sml_hole
129.1294,141.0349,146.7061,54.8595,0,53.85678,0,-0.0001620167,-0.0001620167,7.863097,0.1687612,0.0001962153,2.031103e-06,5.763131e-06,1.030241e-07,3.107193e-08,washer_sml_hole
70.80544,76.23891,75.63231,63.65519,0,52.97667,0,-0.005925501,-0.005925501,3.693587,0.1667353,0.002714001,0.0007486975,-0.0003394691,8.797567e-06,1.428607e-05,washer_sml_hole
104.8536,111.476,116.677,56.58303,0,53.631,0,-0.0006568639,-0.0006568639,31.04226,0.2767022,0.01149957,-0.0004492626,-0.00164378,-0.0001880041,-2.889422e-05,washer_lg_hole
114.0275,122.8992,132.1779,59.1311,0,58.48098,0,-0.000874896,-0.000874896,5.901424,0.2566149,0.0003305413,-5.931969e-06,-7.266901e-06,-7.929181e-08,1.656502e-07,washer_lg_hole
104.0684,111.2574,119.7675,55.62811,0,52.10752,0,0,0,13.84466,0.3027024,0.1843981,0.03187169,-0.01770296,0.01102829,0.01282145,washer_lg_hole
127.7797,140.6709,142.6792,57.71815,0,56.50393,0,0,0,9.855218,0.241863,0.007501056,-0.0003129719,-0.0002256419,6.182491e-06,-7.232681e-06,washer_lg_hole
