Features_ 1,Features_ 2,Features_ 3,Features_ 4,Features_ 5,Features_ 6,Features_ 7,Features_ 8,Features_ 9,Features_10,Features_11,Features_12,Features_13,Features_14,Features_15,Features_16,labels
91.36253,90.60406,90.36407,120.1044,0,40.36333,0,0.0002236788,0.0002236788,7.70876,0.2748723,0.0070414,-0.01333323,0.007764217,-9.473201e-05,0.0001114022,AAA
90.44298,88.09009,87.04189,125.4761,0,38.87151,0,-0.001249694,-0.001249694,5.215171,0.2906139,0.004004165,-0.008738204,0.003975796,-3.954723e-05,3.04315e-05,AAA
88.58966,87.82158,87.54975,123.6794,13.46514,65.41824,7.329291,-0.013989,-0.013989,12.11679,0.2984857,0.1105041,0.1543611,0.01756172,0.03814207,-0.01535482,AAA
83.1995,80.81713,81.26266,25.99303,132.2488,20.32867,49.99397,-0.0004165233,-0.0004165233,18.45063,0.2574713,0.159032,-0.1464581,-0.2288096,-0.07348111,-0.03281577,AAA
73.15554,71.61816,68.96314,132.7454,13.04388,64.38421,5.443799,-0.001331703,-0.001331703,9.161988,0.2146577,0.1909472,0.2372893,-0.06924888,0.09044656,-0.02143389,AAA
90.30592,90.03252,85.93761,118.6092,0,42.9734,0,4.410907e-05,4.410907e-05,5.075937,0.2585778,0.0119363,-0.005768924,0.02299305,-2.739129e-05,0.0004465873,AAA
78.7198,78.19,73.5405,109.6826,0,82.48172,0,0.00443636,0.00443636,11.46722,0.1889265,0.05390438,0.008597719,-0.02692929,0.008772315,-0.0173209,AAA
114.0539,119.0411,115.1505,49.52061,16.69105,37.9824,9.671852,-0.0001754809,-0.0001754809,48.83841,0.2609883,0.2138884,-0.03941872,-0.01750308,0.04816871,0.01192656,one_pound
109.7581,115.3263,110.4774,53.98796,20.15296,39.91465,10.76154,0,0,39.46852,0.4168507,2.441756,-0.2053859,-1.329541,1.32279,2.349263,one_pound
99.00761,97.83498,96.81084,49.54186,0,43.13337,0,0,0,20.73734,0.1920155,0.01008855,0.001655285,-0.002092413,-0.0001855576,-0.0001311974,one_pound
79.30476,84.22619,77.93512,48.14521,0,45.08735,0,0,0,2.315362,0.1684265,0.0005830735,-1.159381e-05,6.333685e-05,-6.889258e-08,1.474926e-06,one_pound
98.7276,96.77013,97.06981,48.7581,0,43.50265,0,0,0,19.74435,0.1877451,0.0105224,0.001836196,-0.001291261,-0.0001792265,-0.0001813747,one_pound
98.43009,97.25862,96.76332,48.82513,0,43.57097,0,0,0,18.79465,0.1822685,0.007307243,-0.000339215,-0.00147225,-6.0326e-05,7.38007e-05,one_pound
93.87688,97.78101,92.32801,56.55137,0,46.31489,0,0,0,31.49792,0.2185118,0.1545852,0.06618357,0.007454746,0.01480734,-0.01145066,one_pound
112.8339,119.1649,112.4558,12.15637,61.54724,4.324708,46.07265,0,0,58.45244,0.2957505,0.06076972,-0.008354414,-0.02516412,-0.01463336,-0.01577845,one_pound
125.2632,133.3602,131.602,16.45421,61.2733,10.02836,56.97928,-0.002026862,-0.002026862,51.50925,0.192639,0.1793727,0.05235998,0.01663421,0.05761076,-0.01363866,two_pound
113.8783,120.9865,120.7979,49.67388,14.4212,45.02435,5.410593,0.001049433,0.001049433,35.67211,0.2771752,0.2877249,-0.06767735,0.113498,-0.04931082,-0.07909091,two_pound
83.43478,91.92593,85.20028,77.47477,10.30843,62.79959,6.024841,0,0,13.42506,0.1705701,0.0005923053,-0.0001750426,9.476301e-05,-5.061205e-06,-5.749454e-07,two_pound
134.4474,142.5886,134.9436,64.30215,0,61.55073,0,-0.001800567,-0.001800567,34.89278,0.1681254,0.0001637729,8.410851e-06,-8.611604e-06,6.579317e-08,-4.247962e-08,two_pound
74.11865,80.85556,75.22845,83.10907,0,71.13303,0,0,0,2.546019,0.1673884,0.000276186,-7.035267e-05,-1.204473e-05,-4.32507e-07,2.686096e-07,two_pound
74.48232,80.79372,75.21463,84.90458,0,71.64893,0,0,0,2.792422,0.1686751,7.017392e-06,4.936741e-07,-1.928423e-06,1.504669e-10,-9.494364e-10,two_pound
117.6537,128.1674,119.8558,65.3672,0,59.5858,0,-0.0009538748,-0.0009538748,93.05856,0.2312319,0.01669952,0.001882932,0.003029381,0.0007787793,-0.0003775184,two_pound
90.71087,95.53802,93.23722,80.4879,13.87777,57.96045,8.086685,0,0,20.28163,0.2070708,0.1043732,-0.03127133,-0.05266492,0.0008390052,0.01617882,two_pound
120.3051,126.934,137.0719,38.7845,0,35.84246,0,-0.0004852976,-0.0004852976,8.376469,0.1610669,0.0001553604,-1.718054e-05,-9.676888e-06,2.378297e-07,-2.286445e-07,five_pence
84.59809,89.14323,91.24826,40.44229,0,37.71132,0,-0.002888732,-0.002888732,18.01351,0.1701704,0.001198887,-0.0001328316,-5.168117e-05,1.944403e-06,1.292418e-06,five_pence
96.25749,99.92748,106.3118,37.01154,0,35.78915,0,-0.0006612626,-0.0006612626,17.82559,0.1761696,0.001461349,2.531975e-05,8.272986e-05,4.824228e-07,-7.528594e-06,five_pence
131.9488,141.5786,145.684,38.7401,0,37.56458,0,-0.000388882,-0.000388882,6.517482,0.1592601,0.0006156423,3.021149e-05,1.064338e-06,-9.30576e-07,7.625626e-07,five_pence
130.4567,136.0207,139.7091,41.38018,0,36.52031,0,0.001617734,0.001617734,10.44132,0.1639076,3.35709e-05,6.84492e-06,1.821858e-08,-1.749748e-08,-3.185519e-09,five_pence
119.0638,125.299,130.8411,39.14854,0,35.14114,0,-0.0001971635,-0.0001971635,18.37138,0.1720112,0.003970178,0.0001082192,-0.0007273325,-6.933762e-05,-3.967221e-05,five_pence
76.34224,80.84789,80.11544,48.56054,0,37.27306,0,0,0,5.898934,0.1690139,0.01131456,0.003535679,0.003460852,0.0005300371,0.0002776161,five_pence
131.3691,134.9977,137.5526,46.6983,0,42.92365,0,0.004381298,0.004381298,21.31679,0.1748048,0.01530982,0.001186794,-0.001913695,0.000298075,-4.807578e-05,twenty_pence
94.71099,98.22517,107.0957,44.60024,0,39.61727,0,0,0,26.96151,0.2537512,0.0926563,0.01605526,-0.02262945,0.008830697,-0.001565793,twenty_pence
131.912,134.8466,137.2459,46.21807,0,42.78493,0,0.005001062,0.005001062,21.68661,0.174667,0.01310963,0.0003424113,-0.001731544,0.0002610151,-0.0001235922,twenty_pence
105.4867,108.564,109.1737,57.91224,10.41631,44.62672,6.499019,-0.0006388558,-0.0006388558,62.40273,0.2436464,0.0146683,-0.00659637,0.009167417,-0.0006778436,-0.0002743613,twenty_pence
92.25455,96.44293,103.5621,45.5263,0,41.48094,0,0,0,25.6069,0.2732954,0.625955,-0.04592216,-0.1520628,-0.02705729,0.2019967,twenty_pence
151.3636,159.4756,155.9075,47.91347,0,46.95299,0,1.984981e-05,1.984981e-05,6.295803,0.1583482,0.0004672126,1.430211e-05,4.482541e-06,1.466398e-07,2.221356e-07,twenty_pence
172.7701,172.9513,170.5327,47.88372,0,47.20523,0,-0.0004622323,-0.0004622323,3.119568,0.1562385,3.02522e-06,6.663693e-08,1.06806e-08,4.651941e-11,-8.300809e-11,twenty_pence
82.2468,85.31909,84.91418,56.87324,0,45.63802,0,0,0,5.131005,0.1710536,0.008635772,0.0006563725,0.003133134,0.0001854373,0.0004184401,twenty_pence
122.8753,123.5188,125.5708,47.63229,0,46.59053,0,0.0004648926,0.0004648926,32.67763,0.2430471,0.4128696,-0.01260046,0.01827749,0.009418915,0.04052483,twenty_pence
113.2547,117.2861,120.1149,45.85479,27.38767,16.21366,25.52493,0,0,30.50903,0.4586478,4.852565,0.05014643,-2.214618,-3.781833,-1.223946,twenty_pence
117.7946,119.9217,127.0931,47.42767,0,38.27219,0,0,0,32.65776,0.2185585,0.002220914,-0.0005596514,0.0008601098,2.605329e-05,6.385102e-05,twenty_pence
112.2188,113.387,121.679,57.19853,18.05878,32.77038,12.23777,0,0,26.03005,0.5341563,1.17714,-0.3967658,-1.335753,-0.2867225,-2.788077,twenty_pence
146.3546,148.898,147.8109,48.00333,0,46.59246,0,-0.0039659,-0.0039659,5.436004,0.1599194,4.094045e-05,9.37166e-07,1.71426e-06,-7.456554e-09,-2.093376e-09,twenty_pence
99.27579,109.8335,112.6549,60.00784,0,57.22377,0,-0.001340464,-0.001340464,60.15422,0.1861006,0.0001520679,-9.801292e-06,9.194986e-06,2.187474e-07,-1.830667e-07,fifty_pence
99.17706,109.8687,112.0281,60.16959,0,56.11816,0,-0.0007717813,-0.0007717813,57.32995,0.181317,0.0001669804,1.186252e-05,-1.742441e-05,-4.063455e-07,-4.288171e-08,fifty_pence
92.56264,94.48892,101.1694,57.24597,0,52.52631,0,-0.001968385,-0.001968385,19.00385,0.1740888,0.007792978,-0.0002439728,0.00113913,0.0001508039,6.926921e-05,fifty_pence
109.857,116.5404,121.5928,59.60997,0,57.90777,0,0.002186803,0.002186803,61.69624,0.1849834,0.001109431,-5.273783e-06,-5.922878e-05,-7.25481e-07,-1.378052e-06,fifty_pence
