Features_ 1,Features_ 2,Features_ 3,Features_ 4,Features_ 5,Features_ 6,Features_ 7,Features_ 8,Features_ 9,Features_10,Features_11,Features_12,Features_13,Features_14,Features_15,Features_16,labels
99.1169,97.01878,96.50658,125.9064,30.20353,36.64993,8.42197,-0.003553006,-0.003553006,10.4992,0.3259521,0.6522272,-1.226272,0.188478,1.23257,-0.5250319,AAA
91.4029,90.64568,90.16659,120.3256,0,40.94005,0,0.0001058338,0.0001058338,8.179668,0.2724494,0.006268834,-0.01348829,0.001153232,-0.0001197213,5.020162e-05,AAA
87.75699,84.33783,86.39893,114.9422,0,45.72002,0,-0.0001798372,-0.0001798372,3.442314,0.2378507,0.004821915,-0.00644432,-0.005289264,-5.24687e-05,-6.16189e-05,AAA
88.96107,84.90635,84.81732,114.7834,0,45.90181,0,0.0007209426,0.0007209426,4.111601,0.2386682,0.007839023,-0.007723074,-0.01113685,-6.181104e-05,-0.0001876755,AAA
113.9519,118.9139,115.3565,49.55249,15.9395,36.81907,6.365364,-0.0002354864,-0.0002354864,48.96383,0.256375,0.1952428,-0.04774094,-0.03144449,0.02139833,0.0199019,one_pound
96.63824,99.82516,96.76134,55.82985,16.39035,49.60232,9.808102,0,0,29.14021,0.259559,0.1245034,0.03621022,0.01752009,0.008241787,-0.01064989,one_pound
98.54762,97.02183,96.53274,48.62905,0,43.91995,0,0,0,19.00224,0.1894292,0.01454961,0.00200322,-0.001955226,-0.0002352685,-0.0003280421,one_pound
85.38701,90.6173,83.74477,67.20465,0,57.87292,0,0,0,9.984112,0.1756688,0.0004365045,-0.0001134882,-8.731972e-06,-3.513876e-06,2.349121e-06,one_pound
102.3249,106.9176,102.2091,62.88997,16.07747,39.66034,5.918295,0,0,19.07836,0.8134496,97.91628,-70.60677,147.295,-4711.753,3947.2,one_pound
115.7893,123.6245,122.1646,64.38422,0,53.91534,0,-0.001407843,-0.001407843,80.26488,0.2348508,0.144942,0.05740758,-0.01674955,-0.01067004,-0.03427283,two_pound
146.5963,155.2903,145.7053,62.80336,0,62.2618,0,-0.0002238503,-0.0002238503,20.8299,0.1600328,9.07841e-05,7.194486e-07,1.032767e-06,-2.786162e-09,-8.545447e-09,two_pound
99.17724,105.6154,105.5152,12.2863,82.05267,6.093854,47.8074,0,0,55.58284,0.3409999,0.2346437,0.1323097,-0.1064767,0.08947196,0.01074838,two_pound
121.8876,128.444,138.4279,38.96149,0,35.3133,0,-4.015598e-05,-4.015598e-05,7.122989,0.1595081,0.0008701293,-1.92643e-05,0.0001347761,2.777225e-06,-1.908411e-06,five_pence
107.295,113.456,123.69,36.95208,0,31.92327,0,0.0007412165,0.0007412165,19.38985,0.184102,0.02820259,0.007243768,-0.002129026,-0.0003379025,-0.000673086,five_pence
94.58669,97.78044,106.2911,43.87346,0,41.70494,0,0,0,26.95729,0.2421274,0.2253918,-0.01978028,-0.01933395,-0.007874089,-0.003232477,twenty_pence
94.2315,93.46735,99.08128,44.27611,0,39.82448,0,0,0,17.4619,0.1745956,0.005703935,0.000501369,-0.00092499,-4.292786e-06,8.198681e-06,twenty_pence
121.3977,131.6403,129.4815,48.34641,0,43.54068,0,0,0,25.48763,0.1878307,0.003281062,-0.00011507,-0.0006329095,2.050797e-05,-9.659705e-07,twenty_pence
127.4216,131.3929,130.2156,46.66382,0,43.16853,0,8.856303e-05,8.856303e-05,27.32175,0.1973404,0.09381132,0.009994834,-0.01035815,0.002230673,0.002513266,twenty_pence
108.9696,114.8079,122.4908,51.14014,31.33939,18.9126,14.81285,0,0,20.43828,0.4970032,0.7218663,-0.2247696,-0.08693675,0.8653603,-0.7374948,twenty_pence
103.3131,108.3353,113.3878,36.3771,11.06059,12.95233,5.221834,0,0,19.22632,0.7707347,34.56523,113.6292,-91.29307,1773.342,-1416.026,twenty_pence
105.9715,110.2931,117.5659,46.23697,10.60061,16.65107,4.626932,0,0,11.84841,0.6687171,10.58549,5.24217,33.06107,-12.62362,-13.86868,twenty_pence
120.3013,134.213,145.2476,54.44581,0,52.59978,0,0.0003959886,0.0003959886,5.290738,0.1737245,0.0006577556,-8.206814e-06,-3.855451e-05,-1.696653e-06,-5.982364e-07,washer_sml_hole
123.3492,135.1598,144.8702,54.15378,0,52.57701,0,-2.040737e-05,-2.040737e-05,5.715242,0.1717127,2.148655e-05,5.175883e-07,-9.597245e-07,1.22975e-09,-3.131588e-09,washer_sml_hole
83.09856,84.77528,93.29828,50.74931,0,48.98657,0,-0.005952048,-0.005952048,1.455929,0.1669036,1.265693e-05,-5.324961e-07,5.237283e-07,-1.060244e-09,2.385984e-09,washer_sml_hole
100.4442,105.9743,110.7731,58.58198,0,54.37694,0,-0.001605775,-0.001605775,27.34068,0.2913317,0.0584641,-0.007389728,0.01029034,-0.002302241,-0.0001630479,washer_lg_hole
109.3072,115.2713,121.6552,57.20391,0,54.17844,0,-1.600781e-05,-1.600781e-05,32.13059,0.2736054,0.02593311,-0.003156832,0.002209909,-0.0001972713,6.450733e-05,washer_lg_hole
123.1535,136.0803,146.2932,56.06126,0,55.124,0,0.0006955023,0.0006955023,4.647882,0.2458863,3.362213e-06,-1.319696e-07,-4.499844e-08,-1.037365e-10,-2.978747e-10,washer_lg_hole
129.0312,146.0757,149.9917,58.39077,0,56.8012,0,4.371685e-05,4.371685e-05,6.810983,0.2446568,0.001532646,6.348239e-05,-8.175638e-05,4.053124e-06,6.684414e-06,washer_lg_hole
96.98543,100.1585,109.6821,54.12417,0,49.82533,0,0,0,6.470647,0.2566574,0.0001980565,3.008186e-05,-2.929962e-05,3.180792e-07,-1.63699e-07,washer_lg_hole
86.72849,91.58879,97.52909,47.98191,0,44.33199,0,-0.001342547,-0.001342547,4.323247,0.1635361,0.0002453581,-1.366531e-05,2.86029e-05,-7.270478e-07,2.000985e-07,nut
86.82402,89.96227,98.77333,53.52883,0,43.59311,0,-0.0005865631,-0.0005865631,5.262083,0.1656312,0.002342935,0.0005090338,0.0005991679,9.230226e-06,2.644783e-05,nut
92.7187,97.98114,101.1025,53.74474,0,44.28494,0,-0.002925484,-0.002925484,10.83843,0.1719439,0.00258452,9.733598e-05,0.0008446361,1.387422e-05,1.012639e-06,nut
91.64005,96.85378,101.478,51.47235,13.65358,42.83579,7.733793,-0.0002105632,-0.0002105632,5.720583,0.1679413,0.001071772,-7.441077e-05,0.0002036661,-1.216002e-05,-9.049374e-06,nut
93.37576,98.54553,102.861,51.50114,15.84562,42.44371,7.591555,-0.0003059796,-0.0003059796,6.712057,0.1700822,0.003249724,-0.0003554377,0.0004589281,-4.843685e-05,-7.399577e-05,nut
83.08393,90.64068,92.87336,67.89069,0,49.41392,0,-0.001622447,-0.001622447,8.463536,0.180239,0.009726563,-0.003449033,0.004143327,-0.0001472568,0.0003224598,nut
106.1573,115.8492,120.601,49.97933,0,45.09542,0,0.003976809,0.003976809,5.834755,0.17052,9.304329e-05,-1.040382e-06,1.623359e-05,-4.771813e-08,-2.57396e-08,nut
92.68913,97.79594,95.50747,125.2687,0,46.93426,0,-0.004865153,-0.004865153,13.26214,0.3036192,0.690313,1.217334,1.007467,0.3947646,0.03517234,angle_bracket
113.4602,116.5487,116.7963,94.02864,0,51.61208,0,0.001434191,0.001434191,11.14345,0.2512575,0.5424841,-0.6998985,0.2145128,-0.9968135,0.3228451,angle_bracket
104.4541,110.2791,108.9424,82.16753,13.52544,61.93727,7.159453,0.003440035,0.003440035,9.658804,0.1867364,0.08575251,0.01317468,-0.03823217,0.01839688,-0.03418034,angle_bracket
112.8166,115.9127,116.3961,85.80479,0,58.01197,0,0.0004247263,0.0004247263,9.210532,0.2451763,1.112426,0.02103096,1.016234,1.20574,3.124617,angle_bracket
